parallel_requests,QPS,median_lat,P95(ms),clustersize,query,rfshards
2240,58857.4,20,151,28,direct,rf14_s2_
2912,64147.5,29,166,28,direct,rf14_s2_
3584,65845.8,33,186,28,direct,rf14_s2_
4256,68917.1,42,206,28,direct,rf14_s2_
224,21424.2,4,64,28,direct,rf14_s2_
4928,70274.0,51,224,28,direct,rf14_s2_
5600,68119.0,61,243,28,direct,rf14_s2_
6272,71307.6,72,265,28,direct,rf14_s2_
896,41912.7,7,119,28,direct,rf14_s2_
1568,52628.9,12,135,28,direct,rf14_s2_
2240,31478.7,48,234,28,direct,rf14_s4_
2912,34696.7,66,265,28,direct,rf14_s4_
3584,34868.5,86,297,28,direct,rf14_s4_
4256,37148.3,106,324,28,direct,rf14_s4_
224,14151.1,5,103,28,direct,rf14_s4_
4928,38069.5,119,346,28,direct,rf14_s4_
5600,39913.6,135,371,28,direct,rf14_s4_
6272,40477.9,153,397,28,direct,rf14_s4_
896,21386.3,14,183,28,direct,rf14_s4_
1568,28414.6,26,208,28,direct,rf14_s4_
1280,142081.9,4,31,16,direct,rf16_s1_
1664,142872.4,5,45,16,direct,rf16_s1_
2048,142455.4,6,61,16,direct,rf16_s1_
2432,142986.0,6,77,16,direct,rf16_s1_
128,49786.4,1,3,16,direct,rf16_s1_
2816,142569.3,7,92,16,direct,rf16_s1_
3200,143308.9,7,113,16,direct,rf16_s1_
3584,143007.1,8,130,16,direct,rf16_s1_
512,123764.6,2,8,16,direct,rf16_s1_
896,140839.7,3,18,16,direct,rf16_s1_
320,65227.2,3,10,8,direct,rf16_s1_
416,69314.7,3,14,8,direct,rf16_s1_
512,70046.7,4,18,8,direct,rf16_s1_
608,70197.7,5,23,8,direct,rf16_s1_
32,11725.2,1,4,8,direct,rf16_s1_
704,70995.1,6,28,8,direct,rf16_s1_
800,70857.7,7,34,8,direct,rf16_s1_
896,71081.8,7,39,8,direct,rf16_s1_
128,47960.2,1,3,8,direct,rf16_s1_
224,58248.5,2,7,8,direct,rf16_s1_
1280,31071.1,21,161,16,direct,rf16_s2_
1664,34018.3,29,180,16,direct,rf16_s2_
2048,34165.0,39,197,16,direct,rf16_s2_
2432,36529.0,46,221,16,direct,rf16_s2_
128,11837.2,4,48,16,direct,rf16_s2_
2816,37672.3,56,235,16,direct,rf16_s2_
3200,35650.5,70,258,16,direct,rf16_s2_
3584,37213.9,75,275,16,direct,rf16_s2_
512,22217.9,8,128,16,direct,rf16_s2_
896,28443.3,14,140,16,direct,rf16_s2_
80,4668.4,13,28,2,direct,rf1_s2__
104,4675.7,17,49,2,direct,rf1_s2__
128,4640.6,22,79,2,direct,rf1_s2__
152,4630.1,26,88,2,direct,rf1_s2__
8,1599.8,3,6,2,direct,rf1_s2__
176,4033.9,31,93,2,direct,rf1_s2__
200,4723.6,35,102,2,direct,rf1_s2__
224,4777.4,39,110,2,direct,rf1_s2__
32,4447.2,5,9,2,direct,rf1_s2__
56,4729.0,8,18,2,direct,rf1_s2__
80,3280.0,19,50,2,direct,rf1_s4__
104,3257.7,26,88,2,direct,rf1_s4__
128,3246.1,32,103,2,direct,rf1_s4__
152,3251.8,38,111,2,direct,rf1_s4__
8,1919.2,2,4,2,direct,rf1_s4__
176,2923.8,44,123,2,direct,rf1_s4__
200,3446.9,48,132,2,direct,rf1_s4__
224,3446.3,54,151,2,direct,rf1_s4__
32,3357.6,7,13,2,direct,rf1_s4__
56,3366.1,12,27,2,direct,rf1_s4__
160,5194.4,21,92,4,direct,rf1_s4__
208,5625.7,28,101,4,direct,rf1_s4__
256,5470.4,37,116,4,direct,rf1_s4__
304,5747.5,43,127,4,direct,rf1_s4__
16,3495.5,2,4,4,direct,rf1_s4__
352,5867.5,50,133,4,direct,rf1_s4__
400,5166.1,58,147,4,direct,rf1_s4__
448,5598.1,64,159,4,direct,rf1_s4__
64,5455.3,7,20,4,direct,rf1_s4__
112,5274.5,15,89,4,direct,rf1_s4__
2240,244650.5,6,26,28,direct,rf28_s1_
2912,245037.0,7,38,28,direct,rf28_s1_
3584,245713.5,9,49,28,direct,rf28_s1_
4256,245257.2,10,63,28,direct,rf28_s1_
224,91177.2,1,3,28,direct,rf28_s1_
4928,243619.5,12,73,28,direct,rf28_s1_
5600,244418.7,14,82,28,direct,rf28_s1_
6272,242206.4,15,93,28,direct,rf28_s1_
896,217610.5,2,8,28,direct,rf28_s1_
1568,241942.9,4,16,28,direct,rf28_s1_
2240,50141.7,24,170,28,direct,rf28_s2_
2912,53869.4,33,191,28,direct,rf28_s2_
3584,58328.2,41,209,28,direct,rf28_s2_
4256,60633.3,50,229,28,direct,rf28_s2_
224,18911.1,5,65,28,direct,rf28_s2_
4928,56151.2,62,252,28,direct,rf28_s2_
5600,60685.2,73,277,28,direct,rf28_s2_
6272,60386.3,85,297,28,direct,rf28_s2_
896,36425.9,8,132,28,direct,rf28_s2_
1568,46716.7,14,151,28,direct,rf28_s2_
80,10206.2,6,14,2,direct,rf2_s1__
104,10333.6,8,19,2,direct,rf2_s1__
128,10386.1,9,24,2,direct,rf2_s1__
152,10306.8,11,30,2,direct,rf2_s1__
8,3078.5,1,3,2,direct,rf2_s1__
176,10332.0,13,35,2,direct,rf2_s1__
200,10329.0,15,41,2,direct,rf2_s1__
224,10383.6,17,46,2,direct,rf2_s1__
32,10216.0,1,4,2,direct,rf2_s1__
56,10326.5,4,8,2,direct,rf2_s1__
80,5081.6,12,27,2,direct,rf2_s2__
104,5032.6,16,40,2,direct,rf2_s2__
128,5016.0,20,57,2,direct,rf2_s2__
152,5111.6,24,82,2,direct,rf2_s2__
8,1549.2,3,6,2,direct,rf2_s2__
176,5080.1,28,90,2,direct,rf2_s2__
200,5132.1,32,101,2,direct,rf2_s2__
224,5098.7,36,111,2,direct,rf2_s2__
32,4815.3,4,10,2,direct,rf2_s2__
56,5115.1,8,17,2,direct,rf2_s2__
160,7767.7,14,83,4,direct,rf2_s2__
208,8003.4,18,93,4,direct,rf2_s2__
256,8055.9,22,98,4,direct,rf2_s2__
304,8978.8,25,104,4,direct,rf2_s2__
16,2928.1,3,6,4,direct,rf2_s2__
352,7311.7,30,115,4,direct,rf2_s2__
400,8701.4,34,123,4,direct,rf2_s2__
448,8803.5,38,146,4,direct,rf2_s2__
64,7173.4,5,14,4,direct,rf2_s2__
112,7142.3,10,63,4,direct,rf2_s2__
160,5524.1,21,98,4,direct,rf2_s4__
208,5505.1,29,110,4,direct,rf2_s4__
256,5182.1,37,123,4,direct,rf2_s4__
304,5321.3,44,132,4,direct,rf2_s4__
16,3255.5,3,5,4,direct,rf2_s4__
352,5019.8,52,149,4,direct,rf2_s4__
400,5804.2,60,167,4,direct,rf2_s4__
448,5678.1,63,194,4,direct,rf2_s4__
64,4955.0,8,24,4,direct,rf2_s4__
112,5148.1,15,95,4,direct,rf2_s4__
320,9555.9,22,109,8,direct,rf2_s4__
416,10756.3,28,121,8,direct,rf2_s4__
512,10646.9,35,139,8,direct,rf2_s4__
608,11211.0,39,155,8,direct,rf2_s4__
32,5407.7,3,6,8,direct,rf2_s4__
704,11506.1,47,170,8,direct,rf2_s4__
800,11954.0,56,184,8,direct,rf2_s4__
896,12040.0,63,192,8,direct,rf2_s4__
128,7897.9,8,98,8,direct,rf2_s4__
224,8758.2,15,106,8,direct,rf2_s4__
1280,146466.1,4,30,16,direct,rf32_s1_
1664,145747.2,5,43,16,direct,rf32_s1_
2048,146917.7,6,57,16,direct,rf32_s1_
2432,146234.4,6,73,16,direct,rf32_s1_
128,47992.1,1,4,16,direct,rf32_s1_
2816,146376.1,7,86,16,direct,rf32_s1_
3200,146307.5,8,104,16,direct,rf32_s1_
3584,145800.9,9,121,16,direct,rf32_s1_
512,128129.0,2,8,16,direct,rf32_s1_
896,146603.7,3,17,16,direct,rf32_s1_
80,10081.9,6,14,2,direct,rf4_s1__
104,10233.3,8,19,2,direct,rf4_s1__
128,10278.5,9,24,2,direct,rf4_s1__
152,10291.9,11,30,2,direct,rf4_s1__
8,2694.1,1,4,2,direct,rf4_s1__
176,10283.0,13,36,2,direct,rf4_s1__
200,10327.0,15,41,2,direct,rf4_s1__
224,10328.1,17,47,2,direct,rf4_s1__
32,9998.0,1,4,2,direct,rf4_s1__
56,10213.5,4,9,2,direct,rf4_s1__
160,26493.3,4,10,4,direct,rf4_s1__
208,26739.3,6,14,4,direct,rf4_s1__
256,27071.3,7,17,4,direct,rf4_s1__
304,27029.8,9,21,4,direct,rf4_s1__
16,6206.6,1,3,4,direct,rf4_s1__
352,27087.1,11,25,4,direct,rf4_s1__
400,27028.1,12,30,4,direct,rf4_s1__
448,27264.7,14,33,4,direct,rf4_s1__
64,20976.2,1,4,4,direct,rf4_s1__
112,25942.1,3,6,4,direct,rf4_s1__
160,8566.8,13,71,4,direct,rf4_s2__
208,8570.7,17,95,4,direct,rf4_s2__
256,8013.2,20,110,4,direct,rf4_s2__
304,7347.9,24,114,4,direct,rf4_s2__
16,2577.7,3,8,4,direct,rf4_s2__
352,8138.1,28,121,4,direct,rf4_s2__
400,9071.8,33,137,4,direct,rf4_s2__
448,9644.8,36,141,4,direct,rf4_s2__
64,7513.1,5,15,4,direct,rf4_s2__
112,7032.7,9,34,4,direct,rf4_s2__
320,14841.7,13,96,8,direct,rf4_s2__
416,15340.9,14,107,8,direct,rf4_s2__
512,16473.0,16,124,8,direct,rf4_s2__
608,16669.2,21,130,8,direct,rf4_s2__
32,5076.8,4,8,8,direct,rf4_s2__
704,17820.8,24,139,8,direct,rf4_s2__
800,16751.7,28,157,8,direct,rf4_s2__
896,16510.8,32,166,8,direct,rf4_s2__
128,11348.9,5,44,8,direct,rf4_s2__
224,12649.5,9,94,8,direct,rf4_s2__
1280,24459.4,36,171,16,direct,rf4_s4__
1664,24496.5,52,197,16,direct,rf4_s4__
2048,25822.4,65,229,16,direct,rf4_s4__
2432,27398.8,78,252,16,direct,rf4_s4__
128,10424.3,4,100,16,direct,rf4_s4__
2816,27285.4,97,274,16,direct,rf4_s4__
3200,28809.1,104,291,16,direct,rf4_s4__
3584,28176.7,117,318,16,direct,rf4_s4__
512,16141.6,13,143,16,direct,rf4_s4__
896,21545.7,27,145,16,direct,rf4_s4__
320,9282.3,22,119,8,direct,rf4_s4__
416,9904.1,28,135,8,direct,rf4_s4__
512,10854.2,33,145,8,direct,rf4_s4__
608,11073.5,38,171,8,direct,rf4_s4__
32,5113.3,3,7,8,direct,rf4_s4__
704,11312.7,45,189,8,direct,rf4_s4__
800,11697.3,53,200,8,direct,rf4_s4__
896,11973.9,62,211,8,direct,rf4_s4__
128,7446.3,8,108,8,direct,rf4_s4__
224,8421.7,15,114,8,direct,rf4_s4__
2240,238834.1,5,27,28,direct,rf56_s1_
2912,237860.3,8,38,28,direct,rf56_s1_
3584,237695.3,9,51,28,direct,rf56_s1_
4256,238421.4,11,63,28,direct,rf56_s1_
224,82781.9,1,4,28,direct,rf56_s1_
4928,239287.6,12,76,28,direct,rf56_s1_
5600,237028.2,14,87,28,direct,rf56_s1_
6272,239228.2,15,100,28,direct,rf56_s1_
896,225761.6,2,8,28,direct,rf56_s1_
1568,235835.2,4,16,28,direct,rf56_s1_
2240,40440.3,35,187,28,direct,rf7_s4__
2912,41531.3,51,220,28,direct,rf7_s4__
3584,44284.4,63,240,28,direct,rf7_s4__
4256,45691.1,77,262,28,direct,rf7_s4__
224,15041.5,4,110,28,direct,rf7_s4__
4928,49248.2,89,283,28,direct,rf7_s4__
5600,48286.2,108,313,28,direct,rf7_s4__
6272,49093.4,116,336,28,direct,rf7_s4__
896,26586.7,10,157,28,direct,rf7_s4__
1568,36996.0,20,162,28,direct,rf7_s4__
160,26318.6,4,10,4,direct,rf8_s1__
208,26680.7,6,14,4,direct,rf8_s1__
256,26891.9,7,17,4,direct,rf8_s1__
304,26711.7,9,21,4,direct,rf8_s1__
16,5474.2,1,4,4,direct,rf8_s1__
352,26785.9,11,25,4,direct,rf8_s1__
400,26750.4,12,30,4,direct,rf8_s1__
448,26701.8,14,34,4,direct,rf8_s1__
64,20875.1,1,4,4,direct,rf8_s1__
112,25748.0,3,6,4,direct,rf8_s1__
320,65160.4,3,10,8,direct,rf8_s1__
416,69066.1,3,14,8,direct,rf8_s1__
512,70130.4,4,18,8,direct,rf8_s1__
608,70691.3,5,23,8,direct,rf8_s1__
32,12406.5,1,3,8,direct,rf8_s1__
704,70664.0,6,28,8,direct,rf8_s1__
800,71035.1,7,33,8,direct,rf8_s1__
896,71045.0,8,39,8,direct,rf8_s1__
128,47821.9,1,3,8,direct,rf8_s1__
224,58987.5,2,7,8,direct,rf8_s1__
1280,31932.2,21,150,16,direct,rf8_s2__
1664,34945.7,28,169,16,direct,rf8_s2__
2048,36070.0,36,196,16,direct,rf8_s2__
2432,36632.0,46,212,16,direct,rf8_s2__
128,12458.2,4,56,16,direct,rf8_s2__
2816,36284.0,55,231,16,direct,rf8_s2__
3200,39473.2,64,245,16,direct,rf8_s2__
3584,40538.3,73,256,16,direct,rf8_s2__
512,22015.0,8,129,16,direct,rf8_s2__
896,28235.8,13,137,16,direct,rf8_s2__
320,14072.6,12,101,8,direct,rf8_s2__
416,14959.1,15,119,8,direct,rf8_s2__
512,15610.2,16,134,8,direct,rf8_s2__
608,16471.3,20,143,8,direct,rf8_s2__
32,4476.2,4,11,8,direct,rf8_s2__
704,16529.2,24,154,8,direct,rf8_s2__
800,16736.4,29,164,8,direct,rf8_s2__
896,16426.9,33,174,8,direct,rf8_s2__
128,11341.3,6,36,8,direct,rf8_s2__
224,12705.0,9,92,8,direct,rf8_s2__
1280,21692.2,37,199,16,direct,rf8_s4__
1664,22391.3,56,234,16,direct,rf8_s4__
2048,23710.2,72,258,16,direct,rf8_s4__
2432,24203.3,91,282,16,direct,rf8_s4__
128,9455.3,5,102,16,direct,rf8_s4__
2816,23576.4,108,315,16,direct,rf8_s4__
3200,24009.8,123,341,16,direct,rf8_s4__
3584,25680.7,138,365,16,direct,rf8_s4__
512,13967.3,13,162,16,direct,rf8_s4__
896,18882.9,26,175,16,direct,rf8_s4__
