parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards,
64,2647.8,7,149,16,solrj,rf2_s16_,16
64,4722.47,4,20,16,solrj,rf2_s4__,16
64,3076.93,4,129,16,solrj,rf2_s8__,16
64,1963.87,7,186,16,solrj,rf4_s16_,16
64,6315.47,3,12,16,solrj,rf4_s2__,16
64,1074.53,13,273,16,solrj,rf4_s32_,16
64,5524.47,3,17,16,solrj,rf4_s4__,16
64,4219.0,4,115,16,solrj,rf4_s8__,16
64,2336.27,8,189,16,solrj,rf6_s16_,16
64,7007.0,3,10,16,solrj,rf6_s2__,16
64,0.0,0,0,16,solrj,rf6_s32_,16
64,4333.87,4,43,16,solrj,rf6_s4__,16
384,3370.8,46,400,16,solrj,rf2_s16_,96
384,4799.07,20,341,16,solrj,rf2_s4__,96
384,4319.47,18,350,16,solrj,rf2_s8__,96
384,2979.87,63,423,16,solrj,rf4_s16_,96
384,8377.6,9,212,16,solrj,rf4_s2__,96
384,1468.87,190,1061,16,solrj,rf4_s32_,96
384,11021.4,7,164,16,solrj,rf4_s4__,96
384,6528.0,18,210,16,solrj,rf4_s8__,96
384,2539.07,54,559,16,solrj,rf6_s16_,96
384,12606.27,5,167,16,solrj,rf6_s2__,96
384,0.0,0,0,16,solrj,rf6_s32_,96
384,7432.07,9,237,16,solrj,rf6_s4__,96
704,3423.13,125,871,16,solrj,rf2_s16_,176
704,5324.53,47,485,16,solrj,rf2_s4__,176
704,5912.53,40,510,16,solrj,rf2_s8__,176
704,2449.0,144,1165,16,solrj,rf4_s16_,176
704,8599.87,13,357,16,solrj,rf4_s2__,176
704,1502.93,342,2131,16,solrj,rf4_s32_,176
704,13948.8,13,192,16,solrj,rf4_s4__,176
704,7910.87,43,290,16,solrj,rf4_s8__,176
704,2786.33,161,1661,16,solrj,rf6_s16_,176
704,13177.73,7,266,16,solrj,rf6_s2__,176
704,0.0,0,0,16,solrj,rf6_s32_,176
704,8138.87,14,368,16,solrj,rf6_s4__,176
1024,3772.93,166,1487,16,solrj,rf2_s16_,256
1024,6545.13,79,629,16,solrj,rf2_s4__,256
1024,6266.33,75,763,16,solrj,rf2_s8__,256
1024,2997.33,204,1572,16,solrj,rf4_s16_,256
1024,8443.8,23,634,16,solrj,rf4_s2__,256
1024,1642.47,460,2147,16,solrj,rf4_s32_,256
1024,14167.8,21,270,16,solrj,rf4_s4__,256
1024,6024.27,55,804,16,solrj,rf4_s8__,256
1024,2868.33,261,1570,16,solrj,rf6_s16_,256
1024,11776.6,9,388,16,solrj,rf6_s2__,256
1024,0.0,0,0,16,solrj,rf6_s32_,256
1024,9739.73,33,393,16,solrj,rf6_s4__,256
1344,2553.2,258,1170,16,solrj,rf2_s16_,336
1344,7285.13,102,787,16,solrj,rf2_s4__,336
1344,5613.27,116,1247,16,solrj,rf2_s8__,336
1344,3303.07,265,2482,16,solrj,rf4_s16_,336
1344,10840.53,43,453,16,solrj,rf4_s2__,336
1344,1365.73,616,921,16,solrj,rf4_s32_,336
1344,10370.07,21,701,16,solrj,rf4_s4__,336
1344,6123.8,73,1465,16,solrj,rf4_s8__,336
1344,3056.67,316,1983,16,solrj,rf6_s16_,336
1344,11355.93,12,761,16,solrj,rf6_s2__,336
1344,0.0,0,0,16,solrj,rf6_s32_,336
1344,8814.0,51,686,16,solrj,rf6_s4__,336
1664,3589.33,269,2539,16,solrj,rf2_s16_,416
1664,5892.8,133,1632,16,solrj,rf2_s4__,416
1664,4737.2,119,2400,16,solrj,rf2_s8__,416
1664,2775.13,333,1931,16,solrj,rf4_s16_,416
1664,8660.87,61,1023,16,solrj,rf4_s2__,416
1664,1071.73,949,323,16,solrj,rf4_s32_,416
1664,11246.13,27,1010,16,solrj,rf4_s4__,416
1664,5980.4,114,1763,16,solrj,rf4_s8__,416
1664,3297.4,295,2629,16,solrj,rf6_s16_,416
1664,12373.2,21,671,16,solrj,rf6_s2__,416
1664,0.0,0,0,16,solrj,rf6_s32_,416
1664,9040.8,90,692,16,solrj,rf6_s4__,416
1984,3175.8,399,2333,16,solrj,rf2_s16_,496
1984,7180.0,165,1149,16,solrj,rf2_s4__,496
1984,5039.73,143,1612,16,solrj,rf2_s8__,496
1984,2615.13,409,1689,16,solrj,rf4_s16_,496
1984,8269.6,73,1707,16,solrj,rf4_s2__,496
1984,1215.0,1129,373,16,solrj,rf4_s32_,496
1984,11155.33,56,944,16,solrj,rf4_s4__,496
1984,6415.53,128,2156,16,solrj,rf4_s8__,496
1984,3318.47,441,1804,16,solrj,rf6_s16_,496
1984,11074.33,28,1203,16,solrj,rf6_s2__,496
1984,0.0,0,0,16,solrj,rf6_s32_,496
1984,9952.07,94,852,16,solrj,rf6_s4__,496
2304,3215.07,466,1487,16,solrj,rf2_s16_,576
2304,5463.4,145,2606,16,solrj,rf2_s4__,576
2304,4459.27,235,1307,16,solrj,rf2_s8__,576
2304,2377.8,594,1106,16,solrj,rf4_s16_,576
2304,8411.67,72,1920,16,solrj,rf4_s2__,576
2304,1111.53,1230,566,16,solrj,rf4_s32_,576
2304,7871.2,47,2258,16,solrj,rf4_s4__,576
2304,6104.4,165,2469,16,solrj,rf4_s8__,576
2304,2968.13,494,1459,16,solrj,rf6_s16_,576
2304,11268.2,33,1449,16,solrj,rf6_s2__,576
2304,0.0,0,0,16,solrj,rf6_s32_,576
2304,10101.8,137,774,16,solrj,rf6_s4__,576
2624,2960.73,557,936,16,solrj,rf2_s16_,656
2624,6078.53,211,2643,16,solrj,rf2_s4__,656
2624,4970.87,247,2302,16,solrj,rf2_s8__,656
2624,2074.87,773,632,16,solrj,rf4_s16_,656
2624,8486.27,99,2113,16,solrj,rf4_s2__,656
2624,1154.07,1423,747,16,solrj,rf4_s32_,656
2624,8450.2,68,2451,16,solrj,rf4_s4__,656
2624,5486.27,247,2420,16,solrj,rf4_s8__,656
2624,2883.6,643,666,16,solrj,rf6_s16_,656
2624,12688.2,57,1247,16,solrj,rf6_s2__,656
2624,0.0,0,0,16,solrj,rf6_s32_,656
2624,10154.53,137,1220,16,solrj,rf6_s4__,656
2944,2836.87,655,652,16,solrj,rf2_s16_,736
2944,5440.6,261,2214,16,solrj,rf2_s4__,736
2944,4654.8,272,1677,16,solrj,rf2_s8__,736
2944,2433.67,764,540,16,solrj,rf4_s16_,736
2944,8515.93,124,2276,16,solrj,rf4_s2__,736
2944,1186.67,1545,638,16,solrj,rf4_s32_,736
2944,8379.73,82,2543,16,solrj,rf4_s4__,736
2944,5103.87,249,1837,16,solrj,rf4_s8__,736
2944,2093.27,1081,451,16,solrj,rf6_s16_,736
2944,13565.93,81,1119,16,solrj,rf6_s2__,736
2944,0.0,0,0,16,solrj,rf6_s32_,736
2944,9582.53,146,1858,16,solrj,rf6_s4__,736
3264,2641.73,816,599,16,solrj,rf2_s16_,816
3264,4897.73,302,1754,16,solrj,rf2_s4__,816
3264,4885.47,334,1939,16,solrj,rf2_s8__,816
3264,2097.8,1045,593,16,solrj,rf4_s16_,816
3264,7483.67,129,2553,16,solrj,rf4_s2__,816
3264,851.73,1801,865,16,solrj,rf4_s32_,816
3264,6648.87,144,2242,16,solrj,rf4_s4__,816
3264,4341.13,402,1466,16,solrj,rf4_s8__,816
3264,2392.0,1066,486,16,solrj,rf6_s16_,816
3264,10322.93,76,2581,16,solrj,rf6_s2__,816
3264,0.0,0,0,16,solrj,rf6_s32_,816
3264,8336.0,160,2188,16,solrj,rf6_s4__,816